cafeno,name,address,business_hours,tel,thumb
7,아지트,서울 종로구 평동 233 1층 3161호,,,/home/data/thumb_img/img7.jpg
10,커피베이 경희궁자이점,서울 종로구 평동 233 3106호,,02-6080-8019,/home/data/thumb_img/default6.jpg
15,바빈스커피 서대문경희궁자이점,서울 종로구 송월길 99 상가동 2124호,,02-722-3177,/home/data/thumb_img/img15.jpg
17,난쏘공,서울 종로구 사직로1길 12,,,/home/data/thumb_img/img17.jpg
19,카페우분투,서울 종로구 홍파동 107,,,/home/data/thumb_img/img19.jpg
39,산다미아노,서울 중구 정동길 9,월~금 08:00 ~ 21:00,02-6364-2233,/home/data/thumb_img/img39.jpg
53,룩아워티 with 한삼인카페 서대문점,서울 중구 통일로 120 농협은행 1층,월~금 08:00 ~ 19:00,02-733-0132,/home/data/thumb_img/default3.jpg
61,커피테이크아웃,서울 서대문구 독립문로14길 22,,,/home/data/thumb_img/default5.jpg
67,투썸플레이스 서대문KT&G타워점,서울 서대문구 충정로 60,월~금 07:30 ~ 21:00,02-312-3800,/home/data/thumb_img/img67.jpg
68,경기다방,서울 서대문구 충정로9길 12,,,/home/data/thumb_img/default8.jpg
70,카페가가,서울 서대문구 충정로 67-1,,02-365-5847,/home/data/thumb_img/default8.jpg
76,G카페,서울 중구 새문안로 28,,02-738-7349,/home/data/thumb_img/default9.jpg
79,서대문연가,서울 서대문구 통일로 107-29,,,/home/data/thumb_img/default5.jpg
84,카페카멜로 서대문점,서울 서대문구 경기대로 58,,02-365-1701,/home/data/thumb_img/default6.jpg
91,퓨로커피 충정로점,서울 서대문구 경기대로9길 24 경기대 본관 1층,,070-7600-7336,/home/data/thumb_img/img91.jpg
99,아재카페 정동점,서울 중구 정동길 3 경향아트힐 1층,,02-720-4567,/home/data/thumb_img/img99.jpg
110,클레어스,서울 서대문구 통일로 105,,,/home/data/thumb_img/default1.jpg
112,버블톡,서울 중구 정동길 3,,02-6387-2345,/home/data/thumb_img/default2.jpg
120,이디야커피 독립문통일로점,서울 서대문구 통일로 203-1 1층,월~금 08:00 ~ 23:30,02-365-1238,/home/data/thumb_img/img120.jpg
125,카페루이스 충정로점,서울 서대문구 충정로 45,,02-313-8149,/home/data/thumb_img/default2.jpg
127,할리스커피 광화문LG점,"서울 종로구 새문안로 58 1층, 지하1층",월~금 08:00 ~ 19:00,070-8861-6995,/home/data/thumb_img/default6.jpg
129,벙커1,서울 서대문구 충정로 20,매일 11:30 ~ 23:00,02-771-7707,/home/data/thumb_img/img129.jpg
132,카페소확행,서울 서대문구 독립문로4길 5-10 1층,월~금 11:00 ~ 22:00,,/home/data/thumb_img/img132.jpg
139,만랩커피 덕수궁롯데캐슬점,서울 중구 서소문로9길 28,,02-318-1027,/home/data/thumb_img/img139.jpg
144,카페느티,서울 종로구 경희궁길 9,월~금 09:00 ~ 21:00,02-730-4567,/home/data/thumb_img/img144.jpg
153,밀라노커피,서울 서대문구 충정로6길 59,,02-3147-1225,/home/data/thumb_img/default2.jpg
