cafeno,item,price
7,아메리카노,2500
7,카페라떼,3500
7,녹차라떼,3800
7,홍차라떼,3800
7,유자애플,4300
10,아이스 아메리카노,0
10,카페모카,0
10,카라멜 마끼아또,0
10,아이스 민트모카,0
10,아이스 카푸치노,0
10,요거스무벨라 딸기,0
10,레몬 에이드,0
10,유자차,0
10,얼그레이 클래식,0
10,허니 갈릭 부기브레드,0
39,에스프레소,3300
39,아메리카노,3300
39,카페라떼,3800
39,초코라떼,4300
39,캐모마일,3800
67,고구마 라떼,0
67,아이스 그린티 라떼,0
67,아이스 카페 아메리카노,0
67,오렌지 자몽 주스,0
67,오렌지자몽티,0
67,유자 레몬티,0
67,콜드브루,0
91,커피,0
91,디저트,0
99,아메리카노,1500
99,카페라떼,2700
99,레드오렌지유자티,3500
99,초코라떼,3500
99,바나나 주스,3500
120,니트로커피,0
120,민트모카,0
120,바닐라 라떼,0
120,카라멜 마끼아또,0
120,카페 라떼,0
120,카페 아메리카노,0
120,카페모카,0
120,카푸치노,0
120,화이트 초콜릿 모카,0
120,콜드브루라떼,0
120,콜드브루 화이트 비엔나,0
120,흑당밀크티빙수,0
127,그린티라떼,0
127,밀크티 크림라떼,0
127,바닐라딜라이트,0
127,복숭아 자두 스파클링,0
127,복숭아 얼그레이,0
127,아포가토,0
127,아메리카노,0
127,콜드브루,0
129,아에리카노,0
129,가카모카,0
129,카라멜 마끼야또,0
129,더치커피,0
129,연유 더치 라떼,0
129,믹스베리에이드,0
129,믹스베리라떼,0
129,레몬차,0
129,레몬에이드,0
129,자몽차,0
129,오자몽에이드,0
129,으하하페일에일,0
129,모카스타우드,0
129,인디카,0
129,제주위트에일,0
129,달빛필스너,0
129,호가든,0
129,헤이지IPA,0
129,왕쥐포,0
129,마른안주컬렉션,0
129,먹태,0
129,리얼새우볼 & 칩,0
129,감자튀김,0
129,홍라면,0
129,백라면,0
156,아메리카노,4000
156,카페라떼,4500
156,초코라떼,5500
156,그린티라떼,5500
156,자몽차,5500
158,아메리카노,4500
158,카페라떼,5000
158,아인슈페너,6500
158,생자몽차,6000
165,아메리카노,5000
165,카페라떼,6000
165,콜드브루,5000
165,밀크티,6000
165,오미자쥬스,6000
166,고구마 라떼,0
166,아이스 그린티 라떼,0
166,아이스 카페 아메리카노,0
166,오렌지 자몽 주스,0
